ProduitID,NomProduit,Categorie,Prix
3001,Smartphone XYZ,Électronique,22.99
3002,Téléviseur 4K 55 pouces,Électronique,899.99
3003,MacBook Pro 14,Électronique,799.00
3004,Console PlayStation 5,Électronique,549.99
3005,Casque audio Bluetooth,Électronique,35.00
3006,Tablette Samsung Galaxy,Électronique,249.99
3007,Montre connectée Apple,Électronique,79.99
3008,Livre Python pour débutants,Éducation,15.99
3009,Clavier mécanique RGB,Électronique,69.99
3010,Souris sans fil Logitech,Électronique,14.99
3011,Câble USB-C 2m,Électronique,29.99
3012,Imprimante HP LaserJet,Électronique,129.99
3013,Webcam HD 1080p,Électronique,189.99
3014,Lampe de bureau LED,Meubles,49.99
3015,Chaise ergonomique,Meubles,50.00
3016,Bureau ajustable,Meubles,19.99
3017,Étagère murale bois,Meubles,49.99
3018,Cahier universitaire A4,Éducation,19.99
3019,Set stylos gel 12 pièces,Éducation,89.99
3020,Calculatrice scientifique,Éducation,29.99
3021,Sac à dos étudiant,Accessoires,24.99
3022,Bouteille isotherme 1L,Accessoires,34.99
3023,Chargeur portable 20000mAh,Électronique,299.99
3024,Enceinte Bluetooth portable,Électronique,149.99
3025,Disque dur externe 2TB,Électronique,799.99
